               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025141,           0.0090386,            0.011651,             0.81792,             0.80379,             0.88365,             0.56636,            0.034142,           0.0058743,            0.029578,              0.0032,              0.0032,              0.0712
                   1,            0.028855,             0.00862,            0.010193,             0.71962,             0.76746,              0.8257,             0.51536,            0.038015,           0.0059114,            0.034623,           0.0064357,           0.0064357,            0.041436
                   2,             0.03685,           0.0092865,            0.010992,             0.63049,             0.73217,             0.74284,             0.32494,            0.047568,           0.0058852,            0.035146,            0.009606,            0.009606,            0.011606
                   3,            0.037183,           0.0092151,            0.013171,             0.78932,             0.59923,             0.74743,             0.35227,            0.044188,           0.0057184,            0.038016,            0.009703,            0.009703,            0.009703
                   4,            0.033475,           0.0092832,            0.012669,             0.78639,             0.55173,             0.71738,             0.30636,            0.050919,           0.0063717,            0.037786,            0.009703,            0.009703,            0.009703
                   5,            0.035744,           0.0093496,            0.013356,             0.85626,             0.55761,              0.6846,             0.28228,            0.045979,           0.0059986,            0.035861,            0.009604,            0.009604,            0.009604
                   6,            0.033932,           0.0096487,            0.014761,             0.69056,             0.56914,             0.65627,              0.3949,            0.038039,           0.0058532,            0.042003,            0.009505,            0.009505,            0.009505
                   7,            0.033319,           0.0094363,            0.013263,             0.53405,             0.67407,             0.75089,             0.36171,            0.041926,            0.005847,            0.045905,            0.009406,            0.009406,            0.009406
                   8,            0.034151,           0.0097358,             0.01356,             0.71844,             0.68486,             0.78196,             0.36295,            0.042727,           0.0056705,            0.038873,            0.009307,            0.009307,            0.009307
                   9,            0.032382,            0.010133,            0.013927,             0.77362,             0.65624,             0.73605,              0.4748,            0.035346,            0.005502,            0.038215,            0.009208,            0.009208,            0.009208
                  10,            0.030929,           0.0095304,            0.013042,             0.80586,             0.58048,              0.7101,             0.33004,            0.046101,           0.0055815,            0.038504,            0.009109,            0.009109,            0.009109
                  11,            0.033215,           0.0096676,            0.012137,             0.87415,             0.62907,             0.74592,             0.43342,            0.040852,           0.0055936,            0.035678,             0.00901,             0.00901,             0.00901
                  12,             0.03154,           0.0094713,            0.011932,             0.79431,             0.77547,             0.79168,             0.53131,            0.030927,           0.0057359,            0.033007,            0.008911,            0.008911,            0.008911
                  13,            0.032248,           0.0089458,            0.011068,             0.89804,             0.66912,             0.80632,              0.5188,            0.035369,           0.0060059,            0.030433,            0.008812,            0.008812,            0.008812
                  14,            0.030602,           0.0093458,            0.010912,             0.79507,             0.58483,             0.70332,             0.43687,            0.036726,           0.0058744,            0.042971,            0.008713,            0.008713,            0.008713
                  15,            0.030792,           0.0091895,            0.010111,             0.87557,             0.64287,             0.79737,             0.45716,            0.036308,           0.0059276,            0.031786,            0.008614,            0.008614,            0.008614
                  16,            0.029031,           0.0087787,            0.012275,             0.71741,             0.61655,             0.70304,             0.45012,            0.032422,           0.0056514,            0.040032,            0.008515,            0.008515,            0.008515
                  17,             0.03171,           0.0096936,            0.012437,             0.79263,              0.6636,             0.69519,             0.32439,            0.044445,           0.0058703,            0.036999,            0.008416,            0.008416,            0.008416
                  18,            0.031759,            0.009009,            0.010882,             0.83495,             0.68446,             0.79776,             0.42467,            0.037687,           0.0057544,            0.034024,            0.008317,            0.008317,            0.008317
                  19,            0.030659,           0.0090985,            0.011962,             0.89639,             0.64773,             0.76631,             0.45032,            0.035578,           0.0056621,             0.03163,            0.008218,            0.008218,            0.008218
                  20,            0.029939,           0.0089424,            0.010357,             0.88101,             0.67308,             0.76644,             0.44673,            0.034213,           0.0060662,            0.033189,            0.008119,            0.008119,            0.008119
                  21,            0.028954,           0.0089266,           0.0084459,             0.85806,             0.72523,             0.75999,             0.42101,             0.03716,           0.0063573,            0.032889,             0.00802,             0.00802,             0.00802
                  22,             0.03026,           0.0087822,           0.0098094,             0.78119,             0.69418,             0.75278,              0.4332,             0.03676,            0.005742,            0.038863,            0.007921,            0.007921,            0.007921
                  23,            0.027688,           0.0086799,           0.0094775,             0.75879,             0.71474,             0.77471,             0.44882,            0.036003,            0.005689,            0.038064,            0.007822,            0.007822,            0.007822
                  24,            0.029521,           0.0083931,           0.0079906,             0.75219,             0.68368,             0.77116,             0.44529,            0.039765,           0.0058449,            0.033334,            0.007723,            0.007723,            0.007723
                  25,            0.028706,           0.0087319,           0.0071045,             0.87048,              0.6628,             0.76071,              0.5002,            0.036417,           0.0058823,            0.037902,            0.007624,            0.007624,            0.007624
                  26,            0.027663,           0.0084549,           0.0079691,             0.89318,             0.59429,             0.77872,             0.40414,             0.04184,           0.0060637,            0.038005,            0.007525,            0.007525,            0.007525
                  27,            0.029141,           0.0084808,           0.0095578,             0.85937,             0.80963,             0.80872,             0.42118,            0.038479,           0.0059765,            0.036407,            0.007426,            0.007426,            0.007426
                  28,            0.026677,           0.0092792,           0.0090227,             0.76882,             0.73726,             0.83303,             0.41928,            0.042249,           0.0059228,             0.03346,            0.007327,            0.007327,            0.007327
                  29,            0.028902,           0.0086649,           0.0087681,             0.84594,             0.56122,             0.77516,             0.39928,            0.043421,           0.0063893,            0.037919,            0.007228,            0.007228,            0.007228
                  30,            0.026667,           0.0087925,           0.0076986,             0.71544,             0.65775,             0.71876,             0.38112,            0.041403,            0.006738,             0.04609,            0.007129,            0.007129,            0.007129
                  31,            0.027793,           0.0088324,           0.0094256,              0.8235,             0.68511,             0.77795,             0.48133,             0.03735,           0.0066433,             0.03166,             0.00703,             0.00703,             0.00703
                  32,            0.027642,           0.0087678,           0.0077939,             0.79889,             0.66689,              0.7741,              0.4683,            0.037416,           0.0062545,            0.036975,            0.006931,            0.006931,            0.006931
                  33,              0.0278,           0.0086578,           0.0061376,             0.73222,             0.68117,             0.79769,             0.41717,             0.04139,           0.0061559,            0.046965,            0.006832,            0.006832,            0.006832
                  34,            0.027322,            0.008465,           0.0067555,             0.85923,             0.62401,             0.80492,             0.48318,            0.040363,           0.0060305,            0.046727,            0.006733,            0.006733,            0.006733
                  35,            0.026702,            0.008147,           0.0066391,             0.65426,             0.81828,             0.84777,             0.48435,            0.040507,           0.0063178,            0.049197,            0.006634,            0.006634,            0.006634
                  36,            0.025699,           0.0080469,           0.0064695,             0.70972,             0.77303,             0.82538,             0.51608,             0.04115,           0.0063715,            0.043686,            0.006535,            0.006535,            0.006535
                  37,             0.02642,           0.0081099,           0.0076647,             0.76898,              0.7595,             0.84986,             0.49993,            0.039012,           0.0063211,            0.027589,            0.006436,            0.006436,            0.006436
                  38,             0.02603,           0.0083155,           0.0064457,             0.78144,             0.72666,             0.82304,              0.4311,            0.042074,           0.0061551,            0.030797,            0.006337,            0.006337,            0.006337
                  39,            0.026164,           0.0078944,           0.0059895,             0.80377,             0.67832,               0.811,             0.45149,            0.039904,           0.0062625,            0.029966,            0.006238,            0.006238,            0.006238
                  40,            0.026009,           0.0081977,           0.0061121,             0.81304,             0.66697,             0.81582,             0.44054,            0.041134,           0.0065361,             0.03256,            0.006139,            0.006139,            0.006139
                  41,            0.024857,           0.0079502,            0.007775,             0.88302,             0.60256,             0.81032,             0.45207,            0.041331,            0.006507,            0.056661,             0.00604,             0.00604,             0.00604
                  42,            0.024708,           0.0080966,           0.0060676,             0.83417,              0.6184,             0.74038,             0.43027,            0.042024,           0.0062173,            0.049644,            0.005941,            0.005941,            0.005941
                  43,             0.02391,           0.0079331,            0.006394,             0.82965,             0.73233,             0.86073,             0.49452,            0.039471,            0.006372,            0.032494,            0.005842,            0.005842,            0.005842
                  44,            0.024234,           0.0080851,           0.0053858,             0.91491,             0.66252,             0.79573,             0.42533,            0.039677,           0.0059535,            0.031284,            0.005743,            0.005743,            0.005743
                  45,             0.02423,           0.0080498,           0.0054016,             0.82448,             0.71456,             0.80502,             0.41483,            0.042058,           0.0060612,            0.029693,            0.005644,            0.005644,            0.005644
                  46,            0.023858,           0.0075858,           0.0053308,             0.92397,             0.70671,             0.80461,             0.52011,             0.03744,           0.0056798,            0.031736,            0.005545,            0.005545,            0.005545
                  47,            0.024625,           0.0080063,              0.0071,             0.87837,             0.70826,             0.78776,             0.43856,            0.038862,           0.0057961,            0.034779,            0.005446,            0.005446,            0.005446
                  48,            0.023845,           0.0074483,           0.0052003,             0.93781,             0.65081,             0.79706,             0.50235,            0.036803,           0.0059721,            0.028546,            0.005347,            0.005347,            0.005347
                  49,            0.023531,            0.007768,           0.0054969,             0.86179,             0.72568,              0.8127,             0.48813,            0.039562,           0.0062343,            0.026115,            0.005248,            0.005248,            0.005248
                  50,            0.023208,           0.0076794,           0.0050111,             0.90652,             0.66342,             0.79097,             0.45486,            0.040369,           0.0063136,            0.030903,            0.005149,            0.005149,            0.005149
                  51,            0.022174,           0.0075018,            0.004349,             0.94483,             0.68775,               0.784,             0.40509,            0.040495,           0.0062089,            0.026834,             0.00505,             0.00505,             0.00505
                  52,            0.022847,           0.0074489,           0.0045718,             0.94738,             0.70874,             0.78085,              0.4469,            0.040501,           0.0063515,            0.029504,            0.004951,            0.004951,            0.004951
                  53,            0.021964,           0.0076776,           0.0040905,             0.89231,             0.69736,             0.81598,              0.5099,            0.037383,           0.0063165,             0.02601,            0.004852,            0.004852,            0.004852
                  54,            0.022336,           0.0071969,           0.0041388,             0.86695,             0.70641,             0.82745,             0.48404,             0.03832,           0.0063282,            0.025847,            0.004753,            0.004753,            0.004753
                  55,             0.02372,           0.0075684,           0.0044784,              0.7737,             0.74179,              0.8192,             0.49921,            0.038737,            0.006193,            0.023703,            0.004654,            0.004654,            0.004654
                  56,            0.022741,           0.0077269,           0.0038801,             0.85737,                 0.7,             0.80646,             0.47503,            0.039844,           0.0062537,            0.024678,            0.004555,            0.004555,            0.004555
